method,byte_position,execution_time_ns
String.equals(),0,580
String.equals(),0,528
String.equals(),0,430
String.equals(),0,524
String.equals(),0,552
String.equals(),0,538
String.equals(),0,581
String.equals(),0,517
String.equals(),0,444
String.equals(),0,531
String.equals(),0,603
String.equals(),0,606
String.equals(),0,394
String.equals(),0,566
String.equals(),0,609
String.equals(),0,563
String.equals(),0,562
String.equals(),0,451
String.equals(),0,543
String.equals(),0,463
String.equals(),0,533
String.equals(),0,475
String.equals(),0,518
String.equals(),0,482
String.equals(),0,448
String.equals(),0,393
String.equals(),0,449
String.equals(),0,508
String.equals(),0,562
String.equals(),0,455
String.equals(),0,515
String.equals(),0,515
String.equals(),0,542
String.equals(),0,575
String.equals(),0,530
String.equals(),0,548
String.equals(),0,483
String.equals(),0,565
String.equals(),0,532
String.equals(),0,500
String.equals(),0,451
String.equals(),0,444
String.equals(),0,512
String.equals(),0,461
String.equals(),0,516
String.equals(),0,533
String.equals(),0,530
String.equals(),0,540
String.equals(),0,462
String.equals(),0,445
String.equals(),0,527
String.equals(),0,537
String.equals(),0,615
String.equals(),0,505
String.equals(),0,609
String.equals(),0,504
String.equals(),0,441
String.equals(),0,531
String.equals(),0,508
String.equals(),0,582
String.equals(),0,555
String.equals(),0,429
String.equals(),0,442
String.equals(),0,549
String.equals(),0,436
String.equals(),0,516
String.equals(),0,577
String.equals(),0,576
String.equals(),0,438
String.equals(),0,526
String.equals(),0,504
String.equals(),0,431
String.equals(),0,481
String.equals(),0,496
String.equals(),0,498
String.equals(),0,605
String.equals(),0,542
String.equals(),0,602
String.equals(),0,479
String.equals(),0,465
String.equals(),0,512
String.equals(),0,494
String.equals(),0,497
String.equals(),0,474
String.equals(),0,612
String.equals(),0,535
String.equals(),0,479
String.equals(),0,457
String.equals(),0,533
String.equals(),0,387
String.equals(),0,503
String.equals(),0,487
String.equals(),0,530
String.equals(),0,520
String.equals(),0,563
String.equals(),0,531
String.equals(),0,445
String.equals(),0,553
String.equals(),0,510
String.equals(),0,393
String.equals(),1,664
String.equals(),1,636
String.equals(),1,651
String.equals(),1,571
String.equals(),1,653
String.equals(),1,640
String.equals(),1,668
String.equals(),1,620
String.equals(),1,651
String.equals(),1,586
String.equals(),1,738
String.equals(),1,588
String.equals(),1,584
String.equals(),1,580
String.equals(),1,667
String.equals(),1,619
String.equals(),1,666
String.equals(),1,607
String.equals(),1,600
String.equals(),1,713
String.equals(),1,656
String.equals(),1,681
String.equals(),1,592
String.equals(),1,691
String.equals(),1,671
String.equals(),1,632
String.equals(),1,625
String.equals(),1,685
String.equals(),1,590
String.equals(),1,684
String.equals(),1,720
String.equals(),1,640
String.equals(),1,646
String.equals(),1,647
String.equals(),1,670
String.equals(),1,674
String.equals(),1,699
String.equals(),1,679
String.equals(),1,675
String.equals(),1,695
String.equals(),1,616
String.equals(),1,622
String.equals(),1,722
String.equals(),1,714
String.equals(),1,613
String.equals(),1,657
String.equals(),1,697
String.equals(),1,669
String.equals(),1,689
String.equals(),1,598
String.equals(),1,623
String.equals(),1,624
String.equals(),1,727
String.equals(),1,658
String.equals(),1,525
String.equals(),1,728
String.equals(),1,683
String.equals(),1,645
String.equals(),1,571
String.equals(),1,597
String.equals(),1,643
String.equals(),1,745
String.equals(),1,583
String.equals(),1,682
String.equals(),1,620
String.equals(),1,750
String.equals(),1,701
String.equals(),1,511
String.equals(),1,564
String.equals(),1,551
String.equals(),1,649
String.equals(),1,658
String.equals(),1,655
String.equals(),1,679
String.equals(),1,633
String.equals(),1,624
String.equals(),1,725
